individual_iri,relative_path
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100023,Data/PaddyDoctor/bacterial_leaf_blight/100023.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100049,Data/PaddyDoctor/bacterial_leaf_blight/100049.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100126,Data/PaddyDoctor/bacterial_leaf_blight/100126.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100133,Data/PaddyDoctor/bacterial_leaf_blight/100133.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100148,Data/PaddyDoctor/bacterial_leaf_blight/100148.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100162,Data/PaddyDoctor/bacterial_leaf_blight/100162.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100169,Data/PaddyDoctor/bacterial_leaf_blight/100169.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100234,Data/PaddyDoctor/bacterial_leaf_blight/100234.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100248,Data/PaddyDoctor/bacterial_leaf_blight/100248.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100268,Data/PaddyDoctor/bacterial_leaf_blight/100268.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100289,Data/PaddyDoctor/bacterial_leaf_blight/100289.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100330,Data/PaddyDoctor/bacterial_leaf_blight/100330.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100365,Data/PaddyDoctor/bacterial_leaf_blight/100365.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100382,Data/PaddyDoctor/bacterial_leaf_blight/100382.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100445,Data/PaddyDoctor/bacterial_leaf_blight/100445.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100447,Data/PaddyDoctor/bacterial_leaf_blight/100447.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100513,Data/PaddyDoctor/bacterial_leaf_blight/100513.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100516,Data/PaddyDoctor/bacterial_leaf_blight/100516.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100523,Data/PaddyDoctor/bacterial_leaf_blight/100523.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100541,Data/PaddyDoctor/bacterial_leaf_blight/100541.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100542,Data/PaddyDoctor/bacterial_leaf_blight/100542.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100548,Data/PaddyDoctor/bacterial_leaf_blight/100548.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100582,Data/PaddyDoctor/bacterial_leaf_blight/100582.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100622,Data/PaddyDoctor/bacterial_leaf_blight/100622.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100623,Data/PaddyDoctor/bacterial_leaf_blight/100623.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100632,Data/PaddyDoctor/bacterial_leaf_blight/100632.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100635,Data/PaddyDoctor/bacterial_leaf_blight/100635.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100649,Data/PaddyDoctor/bacterial_leaf_blight/100649.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100653,Data/PaddyDoctor/bacterial_leaf_blight/100653.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100681,Data/PaddyDoctor/bacterial_leaf_blight/100681.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100709,Data/PaddyDoctor/bacterial_leaf_blight/100709.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100733,Data/PaddyDoctor/bacterial_leaf_blight/100733.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100760,Data/PaddyDoctor/bacterial_leaf_blight/100760.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100795,Data/PaddyDoctor/bacterial_leaf_blight/100795.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100883,Data/PaddyDoctor/bacterial_leaf_blight/100883.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100925,Data/PaddyDoctor/bacterial_leaf_blight/100925.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100956,Data/PaddyDoctor/bacterial_leaf_blight/100956.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100967,Data/PaddyDoctor/bacterial_leaf_blight/100967.jpg
http://www.semanticweb.org/arifu/ontologies/2026/3/riceMMKG#PaddyDoctor_bacterial_leaf_blight_100982,Data/PaddyDoctor/bacterial_leaf_blight/100982.jpg
