individual,group,candidate_iri,match_type
Armyworm,Diseases and pests,,
Bacterial_Leaf_Blight,Diseases and pests,,
Bacterial_Leaf_Streak,Diseases and pests,,
Bacterial_Panicle_Blight,Diseases and pests,,
Brown_Spot,Diseases and pests,,
Hispa,Diseases and pests,,
Rice_Bug,Diseases and pests,,
Sheath_Blight,Diseases and pests,,
Critical_Severity,"Management, severity, stages",,
Excessive_Nitrogen,"Management, severity, stages",,
Field_Inspection,"Management, severity, stages",,
Harvest_Stage,"Management, severity, stages",,
High_Severity,"Management, severity, stages",,
Immediate_Intervention,"Management, severity, stages",,
Low_Severity,"Management, severity, stages",,
Maturity_Stage,"Management, severity, stages",,
Medium_Severity,"Management, severity, stages",,
No_Action_Needed,"Management, severity, stages",,
Normal_Health,"Management, severity, stages",,
Preventive_Action,"Management, severity, stages",,
Resistant_Variety,"Management, severity, stages",,
Brown_Lesion,Symptoms,,
Chewed_Leaf,Symptoms,,
Deadheart,Symptoms,,
Dry_Leaf_Tip,Symptoms,,
Empty_Grain,Symptoms,,
Hopper_Burn,Symptoms,,
Leaf_Rolling,Symptoms,,
Stem_Rot_Symptom,Symptoms,,
Yellow_Leaf,Symptoms,,
