individual,assumed_iri,assumed_match_type,finding
Scirpophaga_Incertulas,http://aims.fao.org/aos/agrovoc/c_6911,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to 'seasons', unrelated to Scirpophaga_Incertulas. Fabricated/hallucinated identifier, not a real match."
Burkholderia_Glumae,http://aims.fao.org/aos/agrovoc/c_36808,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to '404 Not Found', unrelated to Burkholderia_Glumae. Fabricated/hallucinated identifier, not a real match."
Xanthomonas_Oryzicola,http://aims.fao.org/aos/agrovoc/c_37992,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to '404 Not Found', unrelated to Xanthomonas_Oryzicola. Fabricated/hallucinated identifier, not a real match."
Sclerophthora_Macrospora,http://aims.fao.org/aos/agrovoc/c_6907,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to '404 Not Found', unrelated to Sclerophthora_Macrospora. Fabricated/hallucinated identifier, not a real match."
Rice_Tungro_Bacilliform_Virus,http://aims.fao.org/aos/agrovoc/c_25919,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to '404 Not Found', unrelated to Rice_Tungro_Bacilliform_Virus. Fabricated/hallucinated identifier, not a real match."
Rice_Tungro_Spherical_Virus,http://aims.fao.org/aos/agrovoc/c_25920,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to '404 Not Found', unrelated to Rice_Tungro_Spherical_Virus. Fabricated/hallucinated identifier, not a real match."
Nephotettix_Virescens,http://aims.fao.org/aos/agrovoc/c_5160,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to 'New Jersey', unrelated to Nephotettix_Virescens. Fabricated/hallucinated identifier, not a real match."
Tillering_Stage,http://aims.fao.org/aos/agrovoc/c_7808,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to 'Tonga', unrelated to Tillering_Stage. Fabricated/hallucinated identifier, not a real match."
Reproductive_Stage,http://aims.fao.org/aos/agrovoc/c_6562,"rice:exactMatch (undeclared property, 2026-08-21 commit)","REMOVED: verified via live AGROVOC REST API to resolve to 'rhizobitoxine', unrelated to Reproductive_Stage. Fabricated/hallucinated identifier, not a real match."
Stem_Borer,http://aims.fao.org/aos/agrovoc/c_6911,exactMatch (as specified in worklog Task A.2),"REJECTED per checkpoint C5: c_6911 resolves to prefLabel 'seasons' via live AGROVOC REST API (agrovoc.fao.org/browse/rest/v1/data), not 'Scirpophaga incertulas' — see task_a0's wider finding. Applied c_30329 to Stem_Borer instead (verified: prefLabel 'Scirpophaga incertulas', species-level taxonomic rank, broader concept 'Scirpophaga'). Human sign-off requested on the substitution."
